,lipid,n,method,ML,R2
319,PC 35:1,closest,NA,lasso,-0.0002
320,PC 35:1,closest,NA,dummy,-0.0002
321,PC 35:1,closest,NA,knn,-0.0481
322,PE 40:6,closest,NA,catboost,0.3196
323,PE 40:6,closest,NA,xgboost,0.285
324,PE 40:6,closest,NA,lr,0.2628
325,PE 40:6,closest,NA,ridge,0.2628
326,PE 40:6,closest,NA,knn,0.1941
327,PE 40:6,closest,NA,lasso,-0.0001
328,PE 40:6,closest,NA,dummy,-0.0001
329,PA(40:6(OH)) ,closest,NA,catboost,0.3051
330,PA(40:6(OH)) ,closest,NA,xgboost,0.247
331,PA(40:6(OH)) ,closest,NA,lr,0.2197
332,PA(40:6(OH)) ,closest,NA,ridge,0.2197
333,PA(40:6(OH)) ,closest,NA,knn,0.1877
334,PA(40:6(OH)) ,closest,NA,lasso,-0.0001
335,PA(40:6(OH)) ,closest,NA,dummy,-0.0001
336,PE(30:1) ,closest,NA,catboost,0.1028
337,PE(30:1) ,closest,NA,lr,0.0834
338,PE(30:1) ,closest,NA,ridge,0.0834
339,PE(30:1) ,closest,NA,xgboost,0.0801
340,PE(30:1) ,closest,NA,lasso,-0.0001
341,PE(30:1) ,closest,NA,dummy,-0.0001
342,PE(30:1) ,closest,NA,knn,-0.0443
343,PE 34:2,closest,NA,catboost,0.2028
344,PE 34:2,closest,NA,xgboost,0.1621
345,PE 34:2,closest,NA,lr,0.1607
346,PE 34:2,closest,NA,ridge,0.1607
347,PE 34:2,closest,NA,knn,0.0598
348,PE 34:2,closest,NA,lasso,-0.0001
349,PE 34:2,closest,NA,dummy,-0.0001
350,PC(30:0) ,closest,NA,catboost,0.2218
351,PC(30:0) ,closest,NA,lr,0.1573
352,PC(30:0) ,closest,NA,ridge,0.1573
353,PC(30:0) ,closest,NA,xgboost,0.1566
354,PC(30:0) ,closest,NA,knn,0.0783
355,PC(30:0) ,closest,NA,lasso,-0.0001
356,PC(30:0) ,closest,NA,dummy,-0.0001
357,HexCer 36:1,closest,NA,catboost,0.3117
358,HexCer 36:1,closest,NA,xgboost,0.254
359,HexCer 36:1,closest,NA,lr,0.2139
360,HexCer 36:1,closest,NA,ridge,0.2139
361,HexCer 36:1,closest,NA,knn,0.1689
362,HexCer 36:1,closest,NA,lasso,-0.0003
363,HexCer 36:1,closest,NA,dummy,-0.0003
364,PC(40:4) ,closest,NA,catboost,0.2438
365,PC(40:4) ,closest,NA,xgboost,0.1842
366,PC(40:4) ,closest,NA,lr,0.1685
367,PC(40:4) ,closest,NA,ridge,0.1685
368,PC(40:4) ,closest,NA,knn,0.115
369,PC(40:4) ,closest,NA,lasso,-0.0001
370,PC(40:4) ,closest,NA,dummy,-0.0001
371,SM(d36:2) ,closest,NA,catboost,0.5384
372,SM(d36:2) ,closest,NA,xgboost,0.4829
373,SM(d36:2) ,closest,NA,knn,0.4597
374,SM(d36:2) ,closest,NA,lr,0.4331
375,SM(d36:2) ,closest,NA,ridge,0.4331
376,SM(d36:2) ,closest,NA,lasso,-0.0001
377,SM(d36:2) ,closest,NA,dummy,-0.0001
378,Cer 36:1,closest,NA,catboost,0.015
379,Cer 36:1,closest,NA,lr,0.0149
380,Cer 36:1,closest,NA,ridge,0.0149
381,Cer 36:1,closest,NA,xgboost,0.0143
382,Cer 36:1,closest,NA,lasso,-0.0002
383,Cer 36:1,closest,NA,dummy,-0.0002
384,Cer 36:1,closest,NA,knn,-0.15
385,LPC 18:0,closest,NA,catboost,0.204
386,LPC 18:0,closest,NA,xgboost,0.1622
387,LPC 18:0,closest,NA,lr,0.1515
388,LPC 18:0,closest,NA,ridge,0.1515
389,LPC 18:0,closest,NA,knn,0.0632
390,LPC 18:0,closest,NA,lasso,-0.0
391,LPC 18:0,closest,NA,dummy,-0.0
392,HexCer(d32:2) ,closest,NA,catboost,0.4456
393,HexCer(d32:2) ,closest,NA,xgboost,0.3811
394,HexCer(d32:2) ,closest,NA,lr,0.3604
395,HexCer(d32:2) ,closest,NA,ridge,0.3604
